cluster,size,medoid,medoid_mean_abs_r,complement,medoid_complement_abs_r,kept,members
11,26,channel_13,0.921,channel_39,0.817,True,"channel_12,channel_13,channel_15,channel_16,channel_17,channel_18,channel_19,channel_20,channel_22,channel_23,channel_24,channel_25,channel_26,channel_27,channel_28,channel_31,channel_32,channel_33,channel_34,channel_35,channel_36,channel_37,channel_39,channel_40,channel_61,channel_66"
6,11,channel_48,0.906,channel_42,0.801,True,"channel_41,channel_42,channel_43,channel_45,channel_46,channel_47,channel_48,channel_49,channel_50,channel_51,channel_52"
8,5,channel_29,0.886,channel_38,0.823,True,"channel_14,channel_21,channel_29,channel_30,channel_38"
10,4,channel_57,0.971,channel_60,0.965,True,"channel_57,channel_58,channel_59,channel_60"
22,4,channel_5,0.993,channel_6,0.988,True,"channel_4,channel_5,channel_6,channel_7"
5,3,channel_3,0.982,channel_1,0.977,True,"channel_1,channel_2,channel_3"
9,2,channel_62,1.0,channel_63,1.0,False,"channel_62,channel_63"
23,2,channel_8,1.0,channel_9,1.0,False,"channel_8,channel_9"
1,1,channel_53,1.0,,,False,channel_53
2,1,channel_54,1.0,,,False,channel_54
3,1,channel_55,1.0,,,False,channel_55
4,1,channel_56,1.0,,,False,channel_56
7,1,channel_44,1.0,,,False,channel_44
12,1,channel_67,1.0,,,False,channel_67
13,1,channel_71,1.0,,,False,channel_71
14,1,channel_72,1.0,,,False,channel_72
15,1,channel_75,1.0,,,False,channel_75
16,1,channel_76,1.0,,,False,channel_76
17,1,channel_70,1.0,,,False,channel_70
18,1,channel_74,1.0,,,False,channel_74
19,1,channel_73,1.0,,,False,channel_73
20,1,channel_69,1.0,,,False,channel_69
21,1,channel_68,1.0,,,False,channel_68
24,1,channel_10,1.0,,,False,channel_10
25,1,channel_11,1.0,,,False,channel_11
26,1,channel_64,1.0,,,False,channel_64
27,1,channel_65,1.0,,,False,channel_65
