id,detected,channels,input_channels,alarm_count
id_1,True,"channel_12,channel_13,channel_14,channel_15,channel_16,channel_17,channel_18,channel_19,channel_20,channel_21,channel_22,channel_23,channel_24,channel_25,channel_26,channel_27,channel_28,channel_29,channel_30,channel_31,channel_32,channel_33,channel_34,channel_35,channel_36,channel_37,channel_38,channel_39,channel_40,channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47,channel_48,channel_49,channel_50,channel_51,channel_52,channel_57,channel_58,channel_59,channel_60,channel_70,channel_71,channel_72,channel_73,channel_74,channel_75,channel_76","channel_40,channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47",1
id_39,True,"channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47,channel_48,channel_49,channel_50,channel_51,channel_52","channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47",1
id_41,True,"channel_41,channel_42,channel_45,channel_46,channel_70,channel_72,channel_73,channel_74,channel_75,channel_76","channel_41,channel_42,channel_45,channel_46",1
id_91,False,"channel_47,channel_48,channel_49,channel_50,channel_51,channel_52",channel_47,0
id_92,False,"channel_14,channel_21,channel_29",,0
id_93,True,"channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47,channel_48,channel_50,channel_51","channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47",1
id_94,False,"channel_14,channel_21,channel_29",,0
id_95,True,"channel_14,channel_15,channel_21,channel_22,channel_23,channel_29,channel_30,channel_31,channel_38,channel_39,channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47,channel_48,channel_49,channel_50,channel_51,channel_52,channel_59,channel_66","channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47",2
id_96,True,"channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47,channel_48,channel_49,channel_50,channel_51,channel_52,channel_57,channel_58,channel_59,channel_60","channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47",1
id_97,False,"channel_14,channel_21,channel_29",,0
