fold,variant,channel,input_median,input_iqr,nominal_error_median,nominal_error_p95,nominal_error_p99,reference_points,reference_dominant,false_alarm_peaks_dominated,event_alarm_peaks_dominated
2003,baseline,channel_40,0.7649300694465637,0.11032575368881226,0.003087927121669054,0.1400331765413284,0.33520980834961,128,0,0,0
2003,baseline,channel_41,0.8117930293083191,0.008634328842163086,0.01951078698039055,0.38979848623275754,0.8462795752286926,128,5,0,0
2003,baseline,channel_42,0.7855408787727356,0.011245191097259521,0.05594653636217117,0.4598260924220081,0.9914322739839557,128,57,0,1
2003,baseline,channel_43,0.773481547832489,0.008704721927642822,0.01923312433063984,0.45005675107240617,1.2764646160602584,128,6,1,2
2003,baseline,channel_44,0.7976043820381165,0.010233700275421143,0.04509846866130829,0.4794297039508818,1.5258440995216418,128,13,0,1
2003,baseline,channel_45,0.8143114447593689,0.010174334049224854,0.017479997128248215,0.3468113347887992,1.5128818023204824,128,5,0,0
2003,baseline,channel_46,0.7695169448852539,0.011822044849395752,0.0523601733148098,0.6554105252027511,0.9437862682342533,128,41,0,0
2003,baseline,channel_47,0.0017632748931646347,5.060061812400818e-05,0.008155359886586666,0.14026854187250126,0.31722099989652647,128,1,0,1
2003,expanded,channel_40,0.7649300694465637,0.11032575368881226,0.004037096165120602,0.058491873741149884,0.2592520791292191,128,0,0,0
2003,expanded,channel_41,0.8117930293083191,0.008634328842163086,0.021490488201379776,0.48681560158729514,1.6568389284610754,128,6,0,2
2003,expanded,channel_42,0.7855408787727356,0.011245191097259521,0.05847074091434479,0.3412934452295298,1.3681044113636036,128,62,0,0
2003,expanded,channel_43,0.773481547832489,0.008704721927642822,0.021882478147745132,0.8078278988599754,2.4577421617507946,128,10,0,0
2003,expanded,channel_44,0.7976043820381165,0.010233700275421143,0.04863791912794113,0.3064134925603864,1.9486741399765044,128,5,0,0
2003,expanded,channel_45,0.8143114447593689,0.010174334049224854,0.01935095340013504,0.32026716172695147,2.119766197204594,128,0,0,0
2003,expanded,channel_46,0.7695169448852539,0.011822044849395752,0.05570121854543686,0.44742505550384465,1.5357609403133403,128,39,0,0
2003,expanded,channel_47,0.0017632748931646347,5.060061812400818e-05,0.008622368797659874,0.08316188044846053,0.2466910764575007,128,6,0,3
2003,expanded,channel_14,0.23082436621189117,0.08297216892242432,0.004506067372858524,0.0646594041958451,0.20295341625809707,128,0,0,0
2003,expanded,channel_21,0.23836667835712433,0.0829721987247467,0.004814945161342621,0.07676771897822599,0.19402450114488623,128,0,0,0
2003,expanded,channel_29,0.2579793930053711,0.07844410836696625,0.004208855330944061,0.09337976649403552,0.2522564995288854,128,0,0,0
