feature,kind,subsystem,unit_code,group,target,nominal_rows,sample_rows,nonfinite,min,max,mean,std,sample_unique,sample_mode_fraction,unchanged_30s_fraction,constant_training_nominal,review_flag,physical_meaning
channel_1,telemetry,subsystem_1,physical_unit_1,1,NO,2819808,23495,0,0.09217216,0.43213323,0.13793581188773502,0.0018723896358553238,23,0.998638008086827,0.9995744288480498,False,variable,anonymized; no engineering interpretation inferred
channel_10,telemetry,subsystem_1,physical_unit_2,2,NO,2819808,23495,0,0.0,0.0,0.0,0.0,1,1.0,1.0,True,constant in nominal training,anonymized; no engineering interpretation inferred
channel_11,telemetry,subsystem_1,physical_unit_2,2,NO,2819808,23495,0,0.0,0.0,0.0,0.0,1,1.0,1.0,True,constant in nominal training,anonymized; no engineering interpretation inferred
channel_12,telemetry,subsystem_6,physical_unit_3,3,YES,2819808,23495,0,0.17212361,0.32185268,0.2602833339209868,0.04008525841835938,86,0.03864652053628432,0.8942583358749389,False,variable,anonymized; no engineering interpretation inferred
channel_13,telemetry,subsystem_6,physical_unit_3,3,YES,2819808,23495,0,0.24698903,0.38112107,0.32030544997794796,0.03994463939075617,83,0.03762502660140456,0.8883045954591559,False,variable,anonymized; no engineering interpretation inferred
channel_14,telemetry,subsystem_6,physical_unit_3,4,YES,2819808,23495,0,0.12219759,0.3215264,0.23018088245343402,0.04641943857579515,129,0.03596509895722494,0.8910711625894586,False,variable,anonymized; no engineering interpretation inferred
channel_15,telemetry,subsystem_6,physical_unit_3,7,YES,2819808,23495,0,0.003866547,0.15330058,0.08226545707420989,0.04517529001959315,111,0.03783783783783784,0.8839811471979686,False,variable,anonymized; no engineering interpretation inferred
channel_16,telemetry,subsystem_6,physical_unit_3,6,YES,2819808,23495,0,0.6251832,0.85682064,0.7200063558304843,0.06468466731417534,119,0.03753990210683124,0.8906466553653883,False,variable,anonymized; no engineering interpretation inferred
channel_17,telemetry,subsystem_6,physical_unit_3,5,YES,2819808,23495,0,0.21378464,0.36455026,0.29777238704419756,0.040636068792086685,94,0.024303043200680996,0.8854050373438686,False,variable,anonymized; no engineering interpretation inferred
channel_18,telemetry,subsystem_6,physical_unit_3,5,YES,2819808,23495,0,0.23790672,0.38414884,0.31647411128762276,0.03944778411307733,98,0.022898489040221324,0.8828874293374567,False,variable,anonymized; no engineering interpretation inferred
channel_19,telemetry,subsystem_6,physical_unit_3,3,YES,2819808,23495,0,0.14716905,0.32341257,0.24645941015661577,0.04509525317920208,108,0.017152585656522664,0.8848447019938008,False,variable,anonymized; no engineering interpretation inferred
channel_2,telemetry,subsystem_1,physical_unit_1,1,NO,2819808,23495,0,0.0,0.99990237,0.12639780842683182,0.004842769712746741,18,0.9988508193232603,0.9996691184293587,False,variable,anonymized; no engineering interpretation inferred
channel_20,telemetry,subsystem_6,physical_unit_3,3,YES,2819808,23495,0,0.24698903,0.38268095,0.3206384777530342,0.040601427955775746,87,0.03209193445413918,0.8858267074269259,False,variable,anonymized; no engineering interpretation inferred
channel_21,telemetry,subsystem_6,physical_unit_3,4,YES,2819808,23495,0,0.12371141,0.34858766,0.23670488772881956,0.046879912189299516,131,0.0338369865928921,0.8846634796115954,False,variable,anonymized; no engineering interpretation inferred
channel_22,telemetry,subsystem_6,physical_unit_3,7,YES,2819808,23495,0,0.21923207,0.3795622,0.30193840253477994,0.04656293749017317,101,0.052053628431581185,0.8941934362742664,False,variable,anonymized; no engineering interpretation inferred
channel_23,telemetry,subsystem_6,physical_unit_3,7,YES,2819808,23495,0,0.010306979,0.15330058,0.08834175127389511,0.045083072748490535,108,0.0360076612045116,0.8853777298616184,False,variable,anonymized; no engineering interpretation inferred
channel_24,telemetry,subsystem_6,physical_unit_3,6,YES,2819808,23495,0,0.6178282,0.85682064,0.713322658656901,0.06460221289877593,120,0.052096190678867844,0.8929482860121856,False,variable,anonymized; no engineering interpretation inferred
channel_25,telemetry,subsystem_6,physical_unit_3,5,YES,2819808,23495,0,0.1659085,0.3163044,0.25114013344157426,0.039222391756247595,94,0.021025750159608426,0.8807322660954556,False,variable,anonymized; no engineering interpretation inferred
channel_26,telemetry,subsystem_6,physical_unit_3,5,YES,2819808,23495,0,0.2861526,0.4218415,0.3570196200906629,0.03878477499080423,91,0.023536922749521176,0.8808936284905701,False,variable,anonymized; no engineering interpretation inferred
