month,channel_1,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16,channel_17,channel_18,channel_19,channel_2,channel_20,channel_21,channel_22,channel_23,channel_24,channel_25,channel_26,channel_27,channel_28,channel_29,channel_3,channel_30,channel_31,channel_32,channel_33,channel_34,channel_35,channel_36,channel_37,channel_38,channel_39,channel_4,channel_40,channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47,channel_48,channel_49,channel_5,channel_50,channel_51,channel_52,channel_53,channel_54,channel_55,channel_56,channel_57,channel_58,channel_59,channel_6,channel_60,channel_61,channel_62,channel_63,channel_64,channel_65,channel_66,channel_67,channel_68,channel_69,channel_7,channel_70,channel_71,channel_72,channel_73,channel_74,channel_75,channel_76,channel_8,channel_9,telecommand_244,telecommand_350,telecommand_351,telecommand_352,telecommand_353,telecommand_354,telecommand_36,telecommand_376,telecommand_38,telecommand_39,telecommand_40
2000-01,0.13791034,0.0,0.0,0.31249517,0.37488332,0.28814864,0.13397928,0.7704466,0.3524892,0.37057993,0.30625567,0.12633412,0.37644145,0.2972048,0.35500735,0.13913277,0.7630915,0.303489405,0.40978044,0.29066038,0.2235926,0.30172616,0.12633412,0.1553878,0.35356027,0.7796402,0.81273836,0.19720006,0.23338489,0.29533827,0.33432996,0.1553878,0.3593372,0.0,0.8164154,0.81336343,0.78634405,0.77506435,0.7991775,0.8151587,0.771206,0.0017683449,0.0018290656,0.00178099,0.0,0.74380434,0.7693153,0.749117,0.8582317,0.80016184,0.57164633,0.9000809,0.78752834,0.7197575,0.88827163,0.0,0.7179274,0.018955592,0.38704586,0.45644945,0.96707433,0.9680151,0.99319726,0.9963886,0.709386,0.21196441,0.0,0.77995306,0.8136664,0.8232335,0.9380428,0.9845107,0.90979433,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02,0.13791034,0.0,0.0,0.31405506,0.37644145,0.27155688,0.13526623,0.77596307,0.35399705,0.37057993,0.30625567,0.12633412,0.37800133,0.2775921,0.35789582,0.14170666,0.76860803,0.30424333,0.40978044,0.2922185,0.22515248,0.28965577,0.12633412,0.15237355,0.35644874,0.78331816,0.8182548,0.19870791,0.23338489,0.29689813,0.33588985,0.15237355,0.36222568,0.0,0.82193196,0.81336343,0.78714716,0.77427363,0.7991775,0.8151587,0.771206,0.00177593,0.0018341257,0.0017885852,0.0,0.7469911,0.7714412,0.752308,0.8582317,0.80016184,0.57164633,0.9000809,0.78752834,0.7197575,0.88918453,0.0,0.7179274,0.042120732,0.32550898,0.4300388,0.96707433,0.9680151,0.99319726,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.81321377,0.823462165,0.93826915,0.9840534,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03,0.13791034,0.0,0.0,0.31405506,0.37644145,0.25647226,0.13397928,0.7704466,0.35399705,0.37208778,0.30781555,0.12633412,0.37800133,0.2655217,0.35789582,0.14041972,0.7630915,0.30424333,0.40978044,0.2922185,0.2235926,0.28362727,0.12633412,0.13879605,0.35644874,0.7796402,0.81273836,0.19870791,0.23338489,0.29533827,0.33588985,0.13728891,0.3607843,0.0,0.8164154,0.8125782,0.78634405,0.77506435,0.7991775,0.8151587,0.7703615,0.00176581,0.0018265406,0.001778465,0.0,0.74273926,0.76825446,0.7480562,0.8582317,0.80016184,0.57164633,0.9000809,0.7856982,0.7179274,0.8864372,0.0,0.71609724,0.08383532,0.25380966,0.399208,0.96707433,0.9680151,0.99319726,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.8136664,0.8227808,0.9380428,0.9836007,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04,0.13791034,0.0,0.0,0.31249517,0.37488332,0.2670288,0.13011274,0.76860803,0.3524892,0.37057993,0.30469754,0.12633412,0.37644145,0.27457115,0.35356027,0.13655317,0.7630915,0.30273548,0.40827262,0.2891005,0.2235926,0.29569095,0.12633412,0.15237355,0.35211888,0.77780163,0.81273836,0.19720006,0.23187706,0.2937784,0.33277184,0.15086643,0.35644874,0.0,0.8164154,0.81336343,0.78634405,0.77427363,0.7991775,0.8151587,0.7703615,0.00176581,0.0018265406,0.001778465,0.0,0.74273926,0.76825446,0.7480562,0.8582317,0.80016184,0.57164633,0.9000809,0.784781,0.71701014,0.8864372,0.0,0.71518004,0.15081072,0.17835855,0.36664596,0.96707433,0.9680151,0.9928881,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.81275636,0.8232335,0.9375855,0.9836007,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05,0.13791034,0.0,0.0,0.30469754,0.3670839,0.30172616,0.13139968,0.76217225,0.34495,0.3630424,0.29689813,0.12633412,0.3670839,0.31078228,0.35500735,0.13655317,0.7557365,0.29519796,0.4007334,0.2813011,0.21579497,0.31228942,0.12633412,0.15991586,0.35356027,0.7704466,0.80538327,0.18966255,0.22584568,0.28598073,0.32497245,0.15991586,0.35789582,0.0,0.8090604,0.81336343,0.78634405,0.77506435,0.7991775,0.8151587,0.771206,0.0017632749,0.0018240056,0.00177593,0.0,0.7416742,0.7671894,0.7469911,0.8582317,0.80016184,0.57164633,0.9000809,0.7829508,0.71518004,0.884607,0.0,0.71426284,0.21865499,0.12660521,0.34418058,0.96707433,0.9680151,0.9928881,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.8129850649999999,0.82300715,0.9380428,0.9840534,0.90979433,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06,0.13791034,0.0,0.0,0.29533827,0.3577264,0.27607825,0.1288258,0.7557365,0.3343968,0.3524892,0.2875406,0.12633412,0.3577264,0.28211346,0.35211888,0.13526623,0.75021994,0.2861526,0.39168805,0.2719436,0.20487756,0.29116958,0.12633412,0.15237355,0.3506718,0.76493007,0.79802823,0.17923994,0.21680032,0.27506334,0.31561494,0.15237355,0.35500735,0.0,0.80170536,0.8141486,0.78714716,0.77585644,0.7999655,0.81685466,0.77205056,0.0017632749,0.0018240056,0.00177593,0.0,0.7416742,0.7671894,0.7469911,0.8582317,0.80016184,0.57164633,0.9000809,0.78752834,0.7188446,0.88827163,0.0,0.71701014,0.30321604,0.08339923,0.32524264,0.96707433,0.9680151,0.9928881,0.99613094,0.709386,0.21196441,0.0,0.7804104,0.81412375,0.8241435,0.93895286,0.98542076,0.9107044,0.97084147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07,0.13791034,0.0,0.0,0.28598073,0.346809,0.24289475,0.124959245,0.7428649,0.32535145,0.34344214,0.27662322,0.12633412,0.34836712,0.24590899,0.34778333,0.13139968,0.7355099,0.27710554,0.3826427,0.26102617,0.19551829,0.2670288,0.12633412,0.13426797,0.34634194,0.75021994,0.78515667,0.17035231,0.20775326,0.26570407,0.30469754,0.13426797,0.3506718,0.0,0.78883463,0.8125782,0.78714716,0.77506435,0.7991775,0.8151587,0.77205056,0.0017556897,0.0018164205,0.0017683449,0.0,0.7384874,0.7640026,0.74380434,0.8582317,0.80016184,0.57164633,0.9000809,0.78020346,0.7115155,0.8818597,0.0,0.7096853,0.38648456,0.057907067,0.313849,0.96707433,0.9680151,0.9928881,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.8136664,0.8232335,0.9380428,0.9845107,0.90979433,0.9699314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08,0.13791034,0.0,0.0,0.27662322,0.33744973,0.21875398,0.117231876,0.72999334,0.31479824,0.3343968,0.26570407,0.12633412,0.3390096,0.22478917,0.340565,0.12367231,0.7226383,0.26806018,0.37359563,0.25010702,0.18460089,0.24289475,0.12633412,0.10711295,0.3391179,0.73918694,0.7722851,0.16146469,0.19870791,0.25478667,0.29533827,0.10560583,0.34345347,0.0,0.77596307,0.8125782,0.78634405,0.77427363,0.7991775,0.8151587,0.771206,0.0017556897,0.0018138854,0.0017683449,0.0,0.7384874,0.76293755,0.74380434,0.8582317,0.80016184,0.57164633,0.9000809,0.77287865,0.70510787,0.87453055,0.0,0.7041906,0.47308034,0.046340298,0.30838436,0.96707433,0.9680151,0.99257886,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.81412375,0.8232335,0.9375855,0.9836007,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09,0.13791034,0.0,0.0,0.26726395,0.3296521,0.23082437,0.10949878,0.7152833,0.30725902,0.32685927,0.25790644,0.12633412,0.3296521,0.23836668,0.33189386,0.11593921,0.7079282,0.26052266,0.3660581,0.24230939,0.17524336,0.2594865,0.12633412,0.11465527,0.3304525,0.7226383,0.7557365,0.15257707,0.18966255,0.24386927,0.28598073,0.113148145,0.33478233,0.0,0.761253,0.81336343,0.78634405,0.77506435,0.7991775,0.8151587,0.77205056,0.0017480947,0.0018088254,0.0017607498,0.0,0.7363615,0.7608116,0.7416742,0.8582317,0.80016184,0.57164633,0.9000809,0.7692141,0.70144325,0.8717832,0.0,0.70052606,0.5602038,0.048956946,0.3090252,0.96707433,0.9680151,0.99257886,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.8136664,0.8232335,0.9375855,0.9840534,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10,0.13791034,0.0,0.0,0.25946632,0.3187347,0.23534908999999998,0.10177141,0.6968952,0.29821366,0.3163044,0.24698903,0.12633412,0.3202928,0.24289475,0.32322845,0.10821184,0.6950567,0.24996777,0.35701105,0.231392,0.16432597,0.265521685,0.12633412,0.11918334,0.3217871,0.7060897,0.73918694,0.14368775,0.18220304,0.23451175,0.27662322,0.11918334,0.32611692,0.0,0.74654204,0.81336343,0.78714716,0.77427363,0.7995715,0.816006,0.77205056,0.0017455696,0.0018037653,0.0017582148,0.0,0.73423564,0.7586857,0.7395483,0.8582317,0.80016184,0.57164633,0.9000809,0.76737964,0.69869596,0.8690359,0.0,0.6977787,0.6367315,0.06321855,0.31479278,0.96707433,0.9680151,0.99226964,0.9963886,0.709386,0.21196441,0.0,0.77995306,0.8136664,0.8232335,0.9378141499999999,0.9840534,0.90979433,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-11,0.13791034,0.0,0.0,0.24854891,0.3093754,0.27607825,0.09404403,0.69137955,0.2861526,0.30725902,0.23451175,0.12633412,0.3109353,0.28664154,0.31456304,0.10048446,0.6840245,0.24243025,0.34645784,0.22203273,0.15340681,0.28362727,0.12633412,0.12371141,0.31312168,0.6987346,0.7318319,0.13331942,0.17183302,0.2235926,0.26570407,0.12219759,0.3174515,0.0,0.7355099,0.8149324,0.78875345,0.77506435,0.80075204,0.817702,0.77205056,0.0017430346,0.0018037653,0.0017556897,0.0,0.73317057,0.7586857,0.7384874,0.8582317,0.80016184,0.57164633,0.9000809,0.7701313,0.70144325,0.8717832,0.0,0.69961315,0.7325396,0.098687865,0.3297635,0.96707433,0.9680151,0.99226964,0.9963886,0.709386,0.21196441,0.0,0.7804104,0.813895075,0.8241435,0.93895286,0.98542076,0.9107044,0.97084147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-12,0.13791034,0.0,0.0,0.24074951,0.30313766,0.2655217,0.090177484,0.6766686,0.28012124,0.30122933,0.22671236,0.12633412,0.30313766,0.27607825,0.3102332,0.096617915,0.67115295,0.23489104,0.33892033,0.21423508,0.14716905,0.27457115,0.12633412,0.11918334,0.307339,0.6858631,0.71896124,0.12739491,0.1659085,0.21579497,0.25868638,0.11918334,0.31312168,0.0,0.7226383,0.8141486,0.78714716,0.77427363,0.7999655,0.816006,0.771206,0.0017354495,0.0017961703,0.0017480947,0.0,0.7299838,0.7554948,0.7352965,0.8582317,0.80016184,0.57164633,0.9000809,0.760972,0.69320124,0.8626282,0.0,0.6913668,0.7975375,0.13646087,0.34597793,0.96707433,0.9680151,0.99226964,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.81321377,0.8232335,0.9380428,0.9840534,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01,0.13791034,0.0,0.0,0.23295188,0.2937784,0.2398738,0.081157446,0.66195846,0.27107587,0.2921823,0.21891472,0.12633412,0.29533827,0.24892324,0.30012068,0.0876036,0.6564428,0.22584568,0.3313811,0.20487756,0.13638677,0.25194418,0.12633412,0.10259158,0.2986736,0.67115295,0.7042502,0.11850559,0.15702088,0.20643744,0.25010702,0.10259158,0.30445054,0.0,0.7060897,0.8125782,0.78634405,0.77427363,0.7991775,0.816006,0.771206,0.0017278545,0.0017885852,0.0017405096,0.0,0.7267928,0.752308,0.7321097,0.8582317,0.80016184,0.57164633,0.9000809,0.7545601,0.68678933,0.8562163,0.0,0.6849592,0.86674166,0.19383527,0.37082708,0.96707433,0.9680151,0.9919604,0.9963886,0.709386,0.21196441,0.0,0.779043,0.81321377,0.8227808,0.9375855,0.9836007,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,0.13791034,0.0,0.0,0.2235926,0.28598073,0.18857801,0.07085619,0.6490878,0.2620288,0.28464475,0.20955545,0.12633412,0.28598073,0.19310609,0.2900082,0.07729662,0.64357126,0.21830817,0.32233575,0.19707817,0.12872423,0.21121167,0.12633412,0.07241562,0.28711972,0.6582814,0.69137955,0.10961797,0.14961396,0.19707817,0.24074951,0.07241562,0.29289666,0.0,0.6950567,0.81336343,0.78634405,0.77427363,0.7991775,0.8151587,0.7703615,0.0017202693,0.0017835251,0.0017354495,0.0,0.72360605,0.7501821,0.7299838,0.8582317,0.80016184,0.57164633,0.9000809,0.74998266,0.6822118,0.85163885,0.0,0.6812946,0.9228028,0.26138327,0.40025467,0.96707433,0.9680151,0.9919604,0.9963886,0.709386,0.21196441,0.0,0.779043,0.813440085,0.8227808,0.9378141499999999,0.9836007,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-03,0.13791034,0.0,0.0,0.21579497,0.27662322,0.1810357,0.06054921,0.64173186,0.25298345,0.27559772,0.20019792,0.12633412,0.27662322,0.18857801,0.25967637,0.06698964,0.6343768,0.2092611,0.31479824,0.18772064,0.119529895,0.204422905,0.12633412,0.058838107,0.25751145,0.6490878,0.6821851,0.10221105,0.14220704,0.18772064,0.231392,0.057330985,0.258235,0.0,0.6858631,0.8125782,0.7855409,0.77348155,0.79878425,0.8151587,0.76951694,0.0017177344,0.00178099,0.0017329145,0.0,0.722541,0.749117,0.72891873,0.8582317,0.80016184,0.57164633,0.9000809,0.7472353,0.67946446,0.8488915,0.0,0.67766863,0.95443535,0.31552017,0.42391285,0.96707433,0.9680151,0.9919604,0.9963886,0.709386,0.21196441,0.0,0.779043,0.8136664,0.8227808,0.9378141499999999,0.9836007,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-04,0.13791034,0.0,0.0,0.20487756,0.26726395,0.18405664,0.029628273,0.6472484,0.2439381,0.26655236,0.18928052,0.12633412,0.26726395,0.19159895,0.2466754,0.036074426,0.63989335,0.20021574,0.30424333,0.17680325,0.10880376,0.21271878,0.12633412,0.06788755,0.24523403,0.6546034,0.6877016,0.091842726,0.13183872,0.17524336,0.22203273,0.06638043,0.24523403,0.0,0.69137955,0.8110092,0.78393465,0.7719001,0.79681647,0.8126155,0.76698476,0.0017582148,0.0018164205,0.00177087,0.0,0.7395483,0.7640026,0.7448652,0.8582317,0.80016184,0.57164633,0.9000809,0.7472353,0.67946446,0.8498044,0.0,0.67854726,0.9882385,0.4097318,0.46517137,0.96707433,0.9680151,0.9919604,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.81321377,0.8232335,0.9380428,0.9840534,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-05,0.13791034,0.0,0.0,0.2017578,0.26258606,0.17198625,0.0219009,0.63253826,0.23941457,0.2620288,0.18460089,0.12633412,0.26258606,0.17952858,0.23800999,0.02834133,0.6270218,0.19569221,0.30122933,0.17212361,0.104206584,0.2006484,0.12633412,0.061852355,0.23656861,0.64173186,0.67483,0.088879615,0.12887561,0.17212361,0.21735483,0.061852355,0.23656861,0.0,0.678508,0.81022406,0.78393465,0.7719001,0.79681647,0.8117668,0.7678293,0.0017506297,0.0018088254,0.0017632749,0.0,0.7363615,0.7608116,0.7416742,0.8582317,0.80016184,0.57164633,0.9000809,0.74448794,0.67679,0.84614414,0.0,0.67503273,0.99780446,0.46997768,0.49158633,0.96707433,0.9680151,0.9919604,0.9963886,0.709386,0.21196441,0.0,0.7792716850000001,0.81321377,0.8232335,0.9375855,0.98428205,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-06,0.13791034,0.0,0.0,0.19863805,0.26102617,0.16896531,0.012880864,0.6251832,0.23639889,0.25901484,0.183041,0.12633412,0.25946632,0.17802145,0.23079167,0.019327015,0.6196667,0.19418438,0.29821366,0.17056373,0.10114122,0.19763415,0.12633412,0.04978867,0.2279032,0.6343768,0.667475,0.08739891,0.12739491,0.16900386,0.21423508,0.04978867,0.22934458,0.0,0.67115295,0.81022406,0.78393465,0.77110803,0.79681647,0.8126155,0.7678293,0.0017455696,0.0018037653,0.0017582148,0.0,0.73423564,0.7586857,0.7395483,0.8582317,0.80016184,0.57164633,0.9000809,0.74357074,0.67591137,0.84522694,0.0,0.6741541,0.9975282,0.5459082,0.5248891,0.96707433,0.9680151,0.9916512,0.9963886,0.709386,0.21196441,0.0,0.779043,0.81321377,0.8232335,0.9380428,0.9840534,0.90934163,0.9694741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-07,0.13791034,0.0,0.0,0.19863805,0.25946632,0.17349339,0.010306979,0.6270218,0.23564496499999998,0.25901484,0.18148114,0.12633412,0.25946632,0.1810357,0.2279032,0.015460468,0.6196667,0.19418438,0.29821366,0.17056373,0.102673024,0.20215552,0.12633412,0.05431004,0.22501473,0.6343768,0.667475,0.08739891,0.1259125,0.16900386,0.21423508,0.05431004,0.2264561,0.0,0.67115295,0.81022406,0.7831301,0.7719001,0.79681647,0.8126155,0.7678293,0.0017455696,0.0018037653,0.0017582148,0.0,0.73423564,0.7586857,0.7395483,0.8582317,0.80016184,0.57164633,0.9000809,0.74357074,0.67503273,0.84522694,0.0,0.6741541,0.98373926,0.62072897,0.5576957,0.96707433,0.9680151,0.9916512,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.8129850649999999,0.8227808,0.9380428,0.9840534,0.90934163,0.9690214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-08,0.13791034,0.0,0.0,0.20019792,0.26102617,0.20819071,0.007733094,0.63069975,0.23790672,0.2620288,0.18460089,0.12633412,0.26102617,0.21573304,0.2264561,0.014173525,0.62334466,0.19569221,0.2997215,0.17212361,0.104206584,0.21724686,0.12633412,0.057330985,0.22501473,0.6380548,0.67115295,0.088879615,0.12887561,0.17056373,0.21579497,0.055823863,0.22501473,0.0,0.67483,0.8110092,0.7831301,0.7719001,0.79681647,0.8126155,0.7678293,0.0017480947,0.0018062904,0.0017607498,0.0,0.7352965,0.75974655,0.74061334,0.8582317,0.80016184,0.57164633,0.9000809,0.7463181,0.67854726,0.8479743,0.0,0.67679,0.9600564,0.6855435,0.5860861,0.96707433,0.9680151,0.9916512,0.9963886,0.709386,0.21196441,0.0,0.77950037,0.81321377,0.8232335,0.9380428,0.9845107,0.90979433,0.9699314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
