,channel_1,channel_12,channel_13,channel_14,channel_15,channel_16,channel_17,channel_18,channel_19,channel_2,channel_20,channel_21,channel_22,channel_23,channel_24,channel_25,channel_26,channel_27,channel_28,channel_29,channel_3,channel_30,channel_31,channel_32,channel_33,channel_34,channel_35,channel_36,channel_37,channel_38,channel_39,channel_40,channel_41,channel_42,channel_43,channel_44,channel_45,channel_46,channel_47,channel_48,channel_49,channel_50,channel_51,channel_52,channel_53,channel_54,channel_55,channel_56,channel_57,channel_58,channel_59,channel_60,channel_61,channel_62,channel_63,channel_64,channel_65,channel_66,channel_67,channel_68,channel_69,channel_70,channel_71,channel_72,channel_73,channel_74,channel_75,channel_76
channel_1,1.0,-0.0013182438542928105,-0.0012562944770313318,0.017170003205148214,0.006833747592427348,-0.0055557197077592164,-0.002028388867401474,-0.0026372493833143897,-0.005063079119931141,0.9144882996482384,-0.0019403177150813476,0.017928513026053784,0.007709759833660189,0.007585985485429142,-0.005966920487379748,-0.00250105861486629,0.00033314862360214157,-0.003868664700050374,-0.00041195761382448897,0.013255343744655822,0.8191912462116473,0.007525599555876771,0.007122634761181946,-0.0057932409597992625,-0.005579988734407126,-0.0010200161554015927,-0.0017361539819045926,0.0013215175468447356,-0.001492320595421346,0.007383008827821107,0.007818281227212018,-0.005246420103731086,0.0064625777201900835,0.008459110530335446,0.010129445167491584,-0.002694265317766753,0.008908985057488345,0.011181644050992551,-0.015590525816412957,-0.015668736442482352,-0.014846055765942636,-0.01541772532205596,-0.014441844984526006,-0.014902229601883569,-0.00047788753223322394,-0.0010439540877183384,0.00042773275257518533,-0.00173131901103864,0.001817143674154755,0.0008161104174425679,0.0014286896209699668,0.0015121921630094708,0.008517903136212202,-0.026091864006402843,-0.026123967801692557,-0.000264506918455458,0.0018775009497357152,-0.0053410573754604,0.010592359608213328,0.009912543857767499,-0.002060106846627747,0.003386303277775658,-0.0005698144978387465,0.00372472689145289,-0.006393637185770544,-0.007137128507560882,0.00478459634982657,-0.006398242014450579
channel_12,-0.0013182438542928105,1.0,0.9898072321246411,0.8050864775825303,0.9377101103155977,0.9504869847486648,0.9758400297576282,0.9572676242925918,0.9502088341494921,0.0022826087428605172,0.9786401159454827,0.7850084605755353,0.9406390866275378,0.9379147233488786,0.9498264003123855,0.9547170702729465,0.9850255745546296,0.9762477470529716,0.9541491898613438,0.863441295362058,0.006987579656540028,0.9330048420716682,0.9405382618913986,0.9503307051083888,0.9512631171895469,0.9938491327177909,0.9814311904482662,0.9747318678054868,0.9900492135789919,0.9324674478961719,0.9323902556114576,0.9512302943175978,0.05502981758320884,0.059909016383151624,0.12150357311370776,0.029069344762259506,0.058631459762428395,0.0753129894035246,0.6090471139838459,0.6381749608656667,0.6227408075362805,0.6094786059908675,0.6383003569528795,0.6238579972507166,0.012004653120677961,-0.0021410448666650344,0.006189064140105713,-0.06259423959314808,0.9403685696197505,0.940672453187229,0.940187929408599,0.9398813063596617,-0.9654634876579138,-0.23026056804359396,-0.23055320630582501,0.002507334039384623,0.0030849777167175577,0.9348063035198199,-0.4625727411344859,-0.06419287208443351,0.08535513793548741,0.013297374167327706,0.0039923227018148506,0.005650930433579009,0.008370736366101614,-0.00027169258062630097,0.005026402414454174,0.011203204413330729
channel_13,-0.0012562944770313318,0.9898072321246411,1.0,0.809579186688534,0.9471223730001603,0.9439916915832609,0.9908522381312856,0.9791914827323688,0.9634943337407388,0.0026682455865214105,0.9929309971667608,0.7899511297160665,0.9486569136550699,0.9468167966783217,0.9434299805286137,0.9780672032450405,0.9778740113913773,0.9922481646893689,0.9605243429515639,0.8673914858265409,0.006983608043003366,0.9348610296802814,0.9485713234608896,0.9439247273465876,0.9455965666739267,0.9917586022087453,0.965582970637134,0.956142945739497,0.9801075421369433,0.9344583189542653,0.9410985896609154,0.9456290802722046,0.0630425237485493,0.06455743741511905,0.12880655980549433,0.036047433489782184,0.06482033366397331,0.08108290256690905,0.5927303999295133,0.6224890988780412,0.6068098762066209,0.5933744502280598,0.6226688285332628,0.6079510780578206,0.01233265058269801,-0.0031070247857042104,0.0072184614775273525,-0.061362974879903324,0.9294765543365727,0.930280926012154,0.9285071735814208,0.9292964620665853,-0.9607254985755667,-0.2559944646053303,-0.25626065676385146,0.0029730177067279805,0.004314195577339658,0.9311165587111319,-0.4563737563475066,-0.06162946887653219,0.0856795848245908,0.011823467445359646,0.006126503480700115,0.007923882916266566,0.006453633637533075,-0.0021635520754319866,0.008511688189338635,0.011672385364287479
channel_14,0.017170003205148214,0.8050864775825303,0.809579186688534,1.0,0.8202001058996123,0.7429190208482762,0.8054309882077333,0.7929771959069265,0.7713404117040706,0.01799595578850916,0.8068137207230339,0.9966497658922228,0.8183362280601946,0.8201048738098069,0.742707469910139,0.7912219931248473,0.8031972711877048,0.8051707219140741,0.7864376490393159,0.9835440447804755,0.0239191525125192,0.9229881020842744,0.8181453892486584,0.7431107584596103,0.743794102268292,0.8064557000290338,0.7816857956855219,0.7878529022465202,0.7965828383455662,0.9226109586725864,0.8172825399049499,0.7442803300649546,0.09310192474867511,0.0776877710426865,0.14382228379695486,0.06425589472248519,0.08968577842675939,0.09370619230075186,0.39896285781075813,0.42929135503940613,0.4136669072203204,0.39964740619298644,0.4298072594746544,0.4140876716680806,0.008314956636067256,0.0021242997492041853,0.003957370048272063,-0.04585834947251452,0.7417508662797555,0.7399792974992166,0.7398167708200114,0.738617357596717,-0.740474831153034,-0.3396819840878863,-0.34110886725578543,0.009076354606636548,0.004822654516509518,0.7295324858542973,-0.33314376768154075,-0.03764066148851748,0.06385368549776213,0.02012992390979847,0.012171321994672519,0.012073580496766304,0.017467132559437406,0.010956887205900765,0.02517610674592612,0.024498211020744308
channel_15,0.006833747592427348,0.9377101103155977,0.9471223730001603,0.8202001058996123,1.0,0.8591373679643153,0.9435887504773786,0.9286130892792059,0.9038758014115481,0.010840517710452911,0.9442420316058611,0.8035790072167096,0.9964766043603634,0.9982747060118302,0.8586763772508755,0.9252524090993663,0.9371154153862213,0.9418254989859115,0.9168926870446761,0.8735468257101137,0.015101334296683614,0.9312661205748927,0.9962926480483204,0.8591829826162513,0.860611988700987,0.9407605901334483,0.9100388022651015,0.9186945661010607,0.9315516625053589,0.9313329631805102,0.9954130338222364,0.8604586594550938,0.12053549273152764,0.10777279535528388,0.18373664009086457,0.08472741540818965,0.12301679614174313,0.12576215554785244,0.41790936375410037,0.45241451520656656,0.43396671248063634,0.4189462162674196,0.4524104208713163,0.43541318308270627,0.014667711103190328,-0.005004168237938616,-0.0003716398469554866,-0.05315713732581821,0.8521858408158017,0.8509494063227067,0.8512434878066598,0.8491949777994432,-0.8500680593647926,-0.488827961353243,-0.49001684850262645,0.0035523269163455044,0.003997807424479562,0.8387196073822182,-0.38031240230178837,-0.045066212136072814,0.07581294513815431,0.018717887394444663,0.012174343134223966,0.010151383358268347,0.013596508901703316,0.005924339121104683,0.02011378441807983,0.02116829747568908
channel_16,-0.0055557197077592164,0.9504869847486648,0.9439916915832609,0.7429190208482762,0.8591373679643153,1.0,0.9352957957185871,0.9260859369621199,0.9080833825988547,-0.0017844089658845795,0.9395695477484027,0.7180209434050456,0.8559427034201129,0.8590872124174176,0.9981018046659809,0.932534633878314,0.9333148578589644,0.9390559358346751,0.9238050924256072,0.8121402914207809,0.004479240144310157,0.9080499781233193,0.8554655254049122,0.9982594114291151,0.9982155971412782,0.9506782979121311,0.9290607485694689,0.9170784020322474,0.9300426151785328,0.9076849011244055,0.8406812625087876,0.9982679723066734,-0.007819503119545991,0.011414131531185197,0.05033310178520415,-0.0224948037078386,-0.00355200429447192,0.020912320358391204,0.8082704285856689,0.8300883664258412,0.8191012491017146,0.8088052403608476,0.8299855306854137,0.8201139418580926,0.01162429252024255,-0.0031150139037650435,0.011163405177086916,-0.07031753390245624,0.9837411547031026,0.9864739818034348,0.9844259201273731,0.9860208694504073,-0.9809248940229418,-0.015843587259366045,-0.01680167245776889,0.0026983145554138554,0.003080941681077183,0.9809354978149238,-0.547027963696786,-0.08322381953394745,0.11342461581660329,-0.0014451174908604294,0.00011525791055999077,0.005645329583352725,-0.001238403849255796,-0.010401135185630975,-0.008163927904979003,0.0010971794690347323
channel_17,-0.002028388867401474,0.9758400297576282,0.9908522381312856,0.8054309882077333,0.9435887504773786,0.9352957957185871,1.0,0.9841081689770688,0.957120514074419,0.00209192686170344,0.9945108819445473,0.7860143799520524,0.9445447384895186,0.9430010566133468,0.9347969807055313,0.9892079151331575,0.9702371611676565,0.9939768398962685,0.9667370025243489,0.8626033552195304,0.00698917715408504,0.9286456279607516,0.9444257598971344,0.9352729586795281,0.937379278847478,0.9839516076877551,0.9360614918892315,0.939339398294704,0.9610105634030467,0.9282171529717343,0.9372783203748665,0.9374637276959067,0.0687659458204368,0.0679343398563875,0.1349468981701113,0.04069282292779956,0.06944816186436105,0.08606910606606,0.5855893240605211,0.615403068827774,0.5997838841648097,0.5864165648565234,0.6155815393939174,0.6010641835944643,0.013365523771501717,-0.003120257524693174,0.006907970057391968,-0.06006113226967152,0.9192558161242416,0.9207602845731376,0.9176701916526333,0.9195288259942553,-0.9526801411874534,-0.26146704618844546,-0.2617194757688549,0.0028668026206694363,0.00459380814053055,0.9222403497424483,-0.45117707026577847,-0.06134378059370201,0.08412697229735534,0.009680270290987726,0.0093869672921904,0.0084492897972304,0.004418644573680878,-0.006446924863050966,0.010416444533238384,0.011946485436075896
channel_18,-0.0026372493833143897,0.9572676242925918,0.9791914827323688,0.7929771959069265,0.9286130892792059,0.9260859369621199,0.9841081689770688,1.0,0.9389303311869229,0.001454272700696249,0.9877624025434599,0.7736843881017903,0.9287544416682051,0.9277418608613263,0.9256357634024245,0.990824606039017,0.9551213834976102,0.9897788849410514,0.9623991369667946,0.849838560778199,0.006720571204203343,0.9158655771546336,0.92870651969642,0.9260631702004088,0.928252221852025,0.9695752858712654,0.9145714912301093,0.9211162011414352,0.9349107105467133,0.9154703373821321,0.9212389519336521,0.9282658358351633,0.06979588801786742,0.06707256088734848,0.1340554335315244,0.042904641856343115,0.06917277535650111,0.08581825805048089,0.5900375464801564,0.6191808541792907,0.6041074799379564,0.5907883736924024,0.6192083646786598,0.6051665293733053,0.011504075329478567,-0.00459182533573392,0.0094059620269952,-0.06148671825800531,0.9097020984883907,0.9117527482729733,0.9080403716179712,0.9109279166828385,-0.942334466422679,-0.2469844490162565,-0.2472549270772564,0.0027573918926811014,0.0025214551023490274,0.9111233082209302,-0.44984087130897576,-0.06027715690155253,0.08525015130352136,0.005247122880888564,0.009316253314818815,0.00953727902163815,0.0013984025680811763,-0.009384504276385796,0.009906040106905505,0.012106317669253613
channel_19,-0.005063079119931141,0.9502088341494921,0.9634943337407388,0.7713404117040706,0.9038758014115481,0.9080833825988547,0.957120514074419,0.9389303311869229,1.0,-0.001805912643513274,0.9527540257256186,0.7523688873096288,0.90242126214731,0.9033732429980658,0.907511017446296,0.9320498600150742,0.903513774282073,0.9538263145889005,0.866627540242462,0.8270041158977178,0.002394314046317811,0.8933832863753364,0.9022212567351396,0.907928706471144,0.9112258741065126,0.9393321891140539,0.9474218281431637,0.8659965348650794,0.9656548418925355,0.8932738513219164,0.8947102141607006,0.9110991581455612,0.0291699503024669,0.042908331260248796,0.0898157615247521,0.006761380010102555,0.03425869015801841,0.05229788014754161,0.5794833701674875,0.6070827711287156,0.5925154199421789,0.5798842437249488,0.6073707631496236,0.5934244988451025,0.013838267600843052,-0.0027756458305612597,0.008674171814283286,-0.058218984968344205,0.8800403809304364,0.8805898429319731,0.8786585629317585,0.8787414225614901,-0.9226999690593062,-0.2280402431970126,-0.22830067784225722,0.004828161767715165,0.0025769164409488155,0.9140191375372966,-0.45012056804790157,-0.06150592945861465,0.08538089546873721,0.015799501638734594,0.0031495922756122068,0.003859085538335979,0.008318175266740033,0.0028044162274064553,0.0015758899608542634,0.008786398879585863
channel_2,0.9144882996482384,0.0022826087428605172,0.0026682455865214105,0.01799595578850916,0.010840517710452911,-0.0017844089658845795,0.00209192686170344,0.001454272700696249,-0.001805912643513274,1.0,0.0021667423544405313,0.018486703213520028,0.011373431699510625,0.011512566616282511,-0.002184166432033443,0.0017847431425857142,0.004181389887102351,0.0006269509498708884,0.0038405130809801044,0.014820168078901783,0.8616794099380566,0.01068269474357662,0.0110635992393352,-0.0020340372300831975,-0.001741173942350129,0.0029112214770957885,0.0014483930990175213,0.0052012567675619415,0.0017996540420528724,0.010639943285029199,0.011782808655787347,-0.0014911605494125223,0.005423368649075727,0.012431596629293069,0.010909383081244053,-0.001992684175763346,0.012122862779148848,0.009660317521720963,-0.013509812108560096,-0.013148590082439297,-0.012930045027096741,-0.013325144540777422,-0.012235153883637093,-0.01246886276616149,0.0003000058902862064,-0.003196611197939674,0.0030386393817859662,-0.0036627595868878385,0.005422464012966491,0.004492824195799606,0.005002821165730706,0.005370216865021153,0.004848979258414546,-0.027990420171327267,-0.028019792353088407,-0.0002412955984937831,0.001712744290401591,-0.0013602581758420421,0.009820782551526285,0.007433442938587086,-0.0018793259412703274,0.002972339250167412,0.003170997924245768,0.004137313520913233,-0.0034373639561661937,-0.008700424940412855,0.006384081566501697,-0.009091775579930893
