year,model,channels,n_channels,calibration_f05,assessment_f05,precision,recall,TPe,FPe,FNe,false_positive_seconds,epoch,seed,status,source_id,threshold,merge_gap,min_dur,calibration_precision,calibration_recall,calibration_TPe,calibration_FPe,calibration_FNe
2003,Baseline AE + pseudo,40–47,8,0.7142410612656628,0.8331698402429286,0.8331289769935822,0.8333333333333334,5.0,1.0,1.0,5390.412,25.0,42,Completed fold,ae_baseline_2003_seed42/2003,6.974297523498535,0.0,1.0,0.9998906052299212,0.3333333333333333,1.0,0.0,2.0
2004,Baseline AE + pseudo,40–47,8,0.38390663095893557,0.42813074712147803,0.39952022908688667,0.6,6.0,9.0,4.0,25735.161,35.0,42,Completed fold,ae_baseline_remaining_seed42/2004,3.132171630859375,0.0,1.0,0.33266799457194457,1.0,1.0,2.0,0.0
2005,Baseline AE + pseudo,40–47,8,0.8328804736937059,0.8690551788198424,0.9991570587963547,0.5714285714285714,4.0,0.0,3.0,16184.184,5.0,42,Completed fold,ae_baseline_remaining_seed42/2005,15.79249137878513,0.0,1.0,0.9991850740769064,0.5,2.0,0.0,2.0
2003,Expanded AE + pseudo,"40–47, 14, 21, 29",11,0.9996123048611332,0.9090688662832848,0.9999666605566122,0.6666666666666666,4.0,0.0,2.0,732.843,40.0,42,Completed fold,ae_expanded_seed42/2003,6.761383056640625,0.0,1.0,0.9995154280429644,1.0,3.0,0.0,0.0
2004,Expanded AE + pseudo,"40–47, 14, 21, 29",11,0.1508307763116554,0.25136502860024185,0.21298937401128087,0.9,9.0,33.0,1.0,129801.216,40.0,42,Completed fold,ae_expanded_seed42/2004,3.501804828643799,0.0,1.0,0.12441782858378486,1.0,1.0,7.0,0.0
2005,Expanded AE + pseudo,"40–47, 14, 21, 29",11,0.8328804736937059,0.1482451976814055,0.12373211172661014,0.7142857142857143,5.0,35.0,2.0,194744.184,5.0,42,Completed fold,ae_expanded_seed42/2005,15.462627182007683,0.0,1.0,0.9991850740769064,0.5,2.0,0.0,2.0
2003,Reconstruction-only AE,40–47,8,0.4544056803783998,0.5256914934869159,0.4992958726916745,0.6666666666666666,4.0,4.0,2.0,30955.212,5.0,42,Completed fold,ae_reconstruction_seed42/2003,2.3135396986617707e-05,0.0,1.0,0.49978861594780427,0.3333333333333333,1.0,1.0,2.0
2004,Reconstruction-only AE,40–47,8,0.12133369431177966,0.1501837628866907,0.12647869228689726,0.6,6.0,41.0,4.0,198475.152,10.0,42,Completed fold,ae_reconstruction_seed42/2004,1.8197305280409637e-06,0.0,1.0,0.09948103576611679,1.0,1.0,9.0,0.0
2005,Reconstruction-only AE,40–47,8,0.8327321327658244,0.8689341242155341,0.998957055248323,0.5714285714285714,4.0,0.0,3.0,20024.184,5.0,42,Completed fold,ae_reconstruction_seed42/2005,0.45780047476295416,0.0,1.0,0.998918229195217,0.5,2.0,0.0,2.0
2003,Specialist AE + pseudo,"14, 21, 29",3,0.9996123048611332,0.16658880216667565,0.166569347408251,0.16666666666666666,1.0,5.0,5.0,12835.2,10.0,42,Completed fold,ae_specialist_seed42_verified/2003,16.22858238220215,0.0,1.0,0.9995154280429644,1.0,3.0,0.0,0.0
2004,Specialist AE + pseudo,"14, 21, 29",3,,,,,,,,,,42,Pending; not zero,ae_specialist_seed42_verified/2004,,,,,,,,
2005,Specialist AE + pseudo,"14, 21, 29",3,,,,,,,,,,42,Pending; not zero,ae_specialist_seed42_verified/2005,,,,,,,,
2003,Persistence forecast,40–47,8,0.057466377021867514,0.04285214133258862,0.034879578924345796,0.5,3.0,83.0,3.0,2610.0,0.0,42,Completed fold,forecast_2003_seed42/2003/persistence,4.0,0.0,1.0,0.047614853491027856,0.3333333333333333,1.0,20.0,2.0
2003,MLP forecast,40–47,8,0.06023610549530857,0.08277370546073753,0.06756111243775544,0.8333333333333334,5.0,69.0,1.0,2100.0,15.0,42,Completed fold,forecast_2003_seed42/2003/mlp,1.5820531794309103,0.0,1.0,0.0499958163573003,0.3333333333333333,1.0,19.0,2.0
2003,Transformer forecast,40–47,8,0.057466377021867514,0.08669589964590999,0.0705805281945907,1.0,6.0,79.0,0.0,2400.0,10.0,42,Completed fold,forecast_2003_seed42/2003/transformer,1.5753079855082632,0.0,1.0,0.047614853491027856,0.3333333333333333,1.0,20.0,2.0
2003,Residual Transformer forecast,40–47,8,0.057466377021867514,0.07061360462223898,0.05746475412031098,0.8333333333333334,5.0,82.0,1.0,2490.0,15.0,42,Completed fold,forecast_residual_2003_seed42/2003/transformer_residual,1.5538677310227291,0.0,1.0,0.047614853491027856,0.3333333333333333,1.0,20.0,2.0
